Package	Version
Seurat	5.5.0
SeuratObject	5.4.0
CellChat	2.2.0.9001
NMF	0.28
mistyR	1.10.0
survival	3.5-8
survminer	0.5.2
ComplexHeatmap	2.26.1
circlize	0.4.18
ggplot2	4.0.2
ggpubr	0.6.3
ggrepel	0.9.8
ggalluvial	0.12.6
patchwork	1.3.2
dplyr	1.2.1
tidyr	1.3.2
readr	2.2.0
stringr	1.6.0
purrr	1.2.2
tibble	3.3.1
VennDiagram	1.8.2
pheatmap	1.0.13
viridis	0.6.5
RColorBrewer	1.1-3
edgeR	4.0.16
limma	3.58.1
SingleCellExperiment	1.24.0
SummarizedExperiment	1.32.0
future	1.70.0
future.apply	1.20.2
ggridges	0.5.7
ggsci	5.0.0
ggsignif	0.6.4
R.utils	2.13.0
jsonlite	2.0.0
yaml	2.3.12
data.table	1.18.2.1
scales	1.4.0
ggbeeswarm	0.7.3
ggnewscale	0.5.2
ggrastr	1.0.2
ggtext	0.1.2
ragg	1.5.2
png	0.1.9
uwot	0.2.4
enrichR	3.4
zellkonverter	1.12.1
matrixStats	1.5.0
copykat	1.1.0
BiocManager	1.30.27
dendextend	(not recorded; any recent CRAN release)
